DfE number,Establishment,Phase,Status,Head title,Head name,Address 1,Address 2,Address 3,Address 4,Postcode,School ward,Telephone,Website,Nursery,Number of pupils on roll,Census date,Eastings,Northings,Latitude,Longitude,Cluster,Trust name,Sponsor name,Federation name,UPRN
2053,Burnley Road Academy,Primary,Academy converter,Headteacher,Mrs Veronica Walker,Burnley Road,Mytholmroyd,,Hebden Bridge,HX7 5DE,Luddendenfoot,001422 883034,www.burnleyroadacademy.org,Yes,132,02-Oct-25,401061,426205,53.73225,-1.9854,Calder Valley,Pennine Alliance Learning Trust,,,010010164227
2042,Carr Green Primary School,Primary,Community school,Headteacher,Mrs Emma Midgley,Carr Green Lane,Rastrick,,Brighouse,HD6 3LT,Rastrick,001484 715969,http://www.carrgreenschool.org.uk,Yes,328,02-Oct-25,413825,421185,53.68695,-1.79214,East Calderdale,,,,010010186616
2068,Castle Hill Primary School,Primary,Community school,Headteacher,Mr Duncan Hetherington,Ewood Lane,,,Todmorden,OL14 7DF,Todmorden,001706 813163,www.castlehillprimary.co.uk,Yes,168,02-Oct-25,394870,424535,53.71722,-2.07921,Todmorden,,,,010010152666
2054,Central Street Infant and Nursery School,Primary,Community school,Executive Headteacher,Ms Lucy Caswell,Central Street,,,Hebden Bridge,HX7 6HB,Calder,001422 842784,http://www.centralstreet.org.uk,Yes,51,02-Oct-25,399043,427180,53.74102,-2.01599,Calder Valley,,,Hebden Bridge Schools Federation,1.00052E+11
3323,"Christ Church CofE VA Junior School, Sowerby Bridge",Primary,Voluntary aided school,Headteacher,Miss Alison Embleton,Park Road,,Christ Church Ce (Va) Junior School,Sowerby Bridge,HX6 2BJ,Sowerby Bridge,001422 832454,http://www.christchurchjuniors.org.uk,No,71,02-Oct-25,406431,424058,53.71292,-1.90404,Sowerby Bridge,,,,010010188231
3001,Christ Church Pellon CofE VC Primary School,Primary,Voluntary controlled school,Headteacher,Mrs Jo Bastian,Sandbeds Road,Pellon,,Halifax,HX2 0QQ,Warley,001422 350792,http://www.christchurch-pellon.calderdale.sch.uk,No,155,02-Oct-25,406962,425931,53.72975,-1.89596,North Halifax,,,,1.00052E+11
2076,Cliffe Hill Community Primary School,Primary,Community school,Headteacher,Ms Lindsay Lomas,Stoney Lane,Lightcliffe,,Halifax,HX3 8TW,Hipperholme and Lightcliffe,001422 202086,http://www.cliffehill.calderdale.sch.uk,Yes,189,02-Oct-25,414058,424949,53.72077,-1.78845,East Calderdale,,,,010010181155
2059,Colden Junior and Infant School,Primary,Community school,Headteacher,Miss Jo Mansfield,Smithy Lane,Colden,,Hebden Bridge,HX7 7HW,Calder,001422 842438,http://www.colden.calderdale.sch.uk,No,46,02-Oct-25,396193,428379,53.75178,-2.05921,Calder Valley,,,,010010174716
2006,Copley Primary School,Primary,Community school,Headteacher,Mrs Sarah Hemingway,Wakefield Road,Copley,,Halifax,HX3 0TP,Skircoat,001422 354209,https://www.copleynewroad.co.uk/,No,311,02-Oct-25,408789,422589,53.69968,-1.86836,Sowerby Bridge,,,,010095603064
2069,"Cornholme Junior, Infant and Nursery School",Primary,Community school,Headteacher,Mrs Emma Dickinson,Greenfield Terrace,Cornholme,,Todmorden,OL14 8PL,Todmorden,001706 812787,https://www.cornholmeschool.co.uk,Yes,100,02-Oct-25,390171,426195,53.73207,-2.15047,Todmorden,,,,1.00052E+11
2087,Cross Lane Primary and Nursery School,Primary,Community school,Headteacher,Mr Mark Sharp,Cross Lane,,,Elland,HX5 0LP,Elland,001422 372614,www.crosslaneschool.co.uk,Yes,299,02-Oct-25,410362,420330,53.67935,-1.84461,Elland,,,,1.00052E+11
2011,Dean Field Community Primary School,Primary,Academy sponsor led,,Mrs Fiona Pether,Cousin Lane,Ovenden,,Halifax,HX2 8DQ,Ovenden,001422 258258,www.deanfieldschool.co.uk,Yes,210,02-Oct-25,407135,427323,53.74226,-1.8933,North Halifax,The Family Of Learning Trust,The Family Of Learning Trust,,010010175178
3318,"Elland Church of England (Voluntary Aided) Junior, Infant and Nursery School",Primary,Voluntary aided school,Headteacher,Miss L Hartley,Westgate,,,Elland,HX5 0BB,Elland,001422 373159,http://www.elland.calderdale.sch.uk/,Yes,135,02-Oct-25,410708,421039,53.68571,-1.83935,Elland,,,,1.00052E+11
2003,Ferney Lee Primary School,Primary,Community school,Headteacher (Interim),Mrs Kelly Williams,Ferney Lee Road,,,Todmorden,OL14 5NR,Todmorden,001706 254848,http://www.ferneylee.calderdale.sch.uk/,Yes,215,02-Oct-25,393384,424960,53.72102,-2.10174,Todmorden,,,,010006749995
2000,Field Lane Primary School,Primary,Academy sponsor led,,Miss Gemma Brook,Burnsall Road,Rastrick,,Brighouse,HD6 3JT,Rastrick,001484 713792,www.fieldlane.polarismat.org.uk,Yes,67,02-Oct-25,413252,421506,53.68986,-1.8008,East Calderdale,Polaris Multi Academy Trust,Polaris Multi Academy Trust,,1.00052E+11
3319,Hebden Royd CofE Primary School,Primary,Academy converter,Headteacher,Mr Robert Paton,Church Lane,,,Hebden Bridge,HX7 6DS,Calder,001422 842821,www.hebdenroydprimary.org.uk/,Yes,107,02-Oct-25,398432,427480,53.74371,-2.02526,Calder Valley,Learning Accord Multi Academy Trust,Learning Accord Multi Academy Trust,,010010164226
2058,Heptonstall Junior Infant and Nursery School,Primary,Academy converter,Headteacher,Mrs Fiona Pether,Smithwell Lane,Heptonstall,,Hebden Bridge,HX7 7NX,Calder,001422 842533,http://www.heptonstallschool.org.uk/,No,49,02-Oct-25,398545,428194,53.75013,-2.02355,Calder Valley,The Family Of Learning Trust,The Family Of Learning Trust,,010006744447
7010,Highbury School,Special primary,Community special school,Headteacher,Mrs Debbie Sweet,Lower Edge Road,Rastrick,,Brighouse,HD6 3LD,Rastrick,001484 716319,http://www.highburyschool.co.uk,No,147,02-Oct-25,413338,421241,53.68747,-1.79951,Special,,,,1.00052E+11
3331,"Holy Trinity Primary School, A Church of England Academy",Primary,Academy converter,Headteacher,Sarah Huby,Savile Park Road,,,Halifax,HX1 2ES,Skircoat,001422 367161,http://www.holytrinitycofecalderdale.org.uk/,Yes,325,02-Oct-25,408673,424602,53.71783,-1.87004,North Halifax,"Holy Trinity Primary School, A Church Of England Academy",,,010006742912
2050,Holywell Green Primary School,Primary,Community school,Headteacher,Mr Robert Cook,Stainland Road,Holywell Green,,Halifax,HX4 9AE,Greetland and Stainland,001422 374369,http://www.holywellgreenschool.co.uk,No,131,02-Oct-25,408618,419761,53.67427,-1.87102,Elland,,,,010010181822
2010,Lee Mount Academy,Primary,Academy converter,Headteacher,Mr Ben Normington,Lee Mount Road,Lee Mount,,Halifax,HX3 5EB,Ovenden,001422 352856,https://leemountacademy.co.uk,Yes,271,02-Oct-25,408189,426254,53.73263,-1.87735,North Halifax,Impact Education Multi Academy Trust,Impact Education Multi Academy Trust,,1.00052E+11
5404,Lightcliffe Academy,Secondary,Academy sponsor led,Principal,Mrs Joanne Hackett,Stoney Lane,Lightcliffe,,Halifax,HX3 8TL,Hipperholme and Lightcliffe,001422 201028,http://www.lightcliffeacademy.co.uk/,No,781,02-Oct-25,413993,425148,53.72257,-1.78942,Secondary,Abbey Multi Academy Trust,Abbey Multi Academy Trust,,1.00052E+11
5204,Lightcliffe C of E Primary School,Primary,Academy converter,Headteacher,Adelle Hustler Kate Dunkley,Wakefield Road,Lightcliffe,,Halifax,HX3 8SH,Hipperholme and Lightcliffe,001422 202235,http://www.lightcliffeceprimary.co.uk/,No,373,02-Oct-25,413358,425525,53.72597,-1.79903,East Calderdale,Abbey Multi Academy Trust,Abbey Multi Academy Trust,,010006732794
2033,"Ling Bob Junior, Infant and Nursery School",Primary,Community school,Headteacher,Mrs Emmeline Ford,Albert Road,Pellon,,Halifax,HX2 0QD,Warley,001422 434000,http://www.lingbob.calderdale.sch.uk,Yes,327,02-Oct-25,406816,425747,53.72809,-1.89818,North Halifax,,,,1.00052E+11
5207,Longroyde Primary School,Primary,Foundation school,Executive Headteacher,Miss Danielle Parry,Longroyde Road,Rastrick,,Brighouse,HD6 3AS,Rastrick,001484 715300,http://www.longroyde.org.uk,Yes,337,02-Oct-25,413978,422285,53.69684,-1.78978,East Calderdale,,,,010010188522
2038,Luddenden CofE School,Primary,Academy sponsor led,Headteacher,Mrs Lisa Hoyle,Dene View,Luddendenfoot,,Halifax,HX2 6PB,Luddendenfoot,001422 886353,http://www.luddenden-ce.uk,Yes,104,02-Oct-25,403964,425610,53.72689,-1.9414,Calder Valley,Learning Accord Multi Academy Trust,Learning Accord Multi Academy Trust,,010006745837
2064,Luddendenfoot Academy,Primary,Academy converter,Headteacher,Mrs Carolyn Greenwood,Burnley Road,Luddendenfoot,,Halifax,HX2 6AU,Luddendenfoot,001422 882298,http://www.luddfoot.polarismat.org.uk,No,201,02-Oct-25,404092,424428,53.71626,-1.93948,Calder Valley,Polaris Multi Academy Trust,Polaris Multi Academy Trust,,010010152479
2065,Midgley School,Primary,Academy converter,Headteacher,Miss Joanne Mansfield,Lane Ends,Midgley,,Halifax,HX2 6TX,Luddendenfoot,001422 882356,http://www.midgleyschool.org.uk/,No,55,02-Oct-25,403463,426256,53.7327,-1.94899,Calder Valley,Pennine Alliance Learning Trust,,,010006746000
3332,Moorside Community Primary School,Primary,Community school,,Mrs Heidi Higgs,Keighley Road,Ovenden,,Halifax,HX2 8AP,Ovenden,001422 365236,http://www.moorside-primary.org.uk/,Yes,225,02-Oct-25,407786,427576,53.74503,-1.88396,North Halifax,,,,1.00052E+11
2002,Mount Pellon Primary Academy,Primary,Academy sponsor led,,Mrs Ruth Collyer,Battinson Road,,,Halifax,HX1 4RG,Warley,001422 349618,https://mpa.northerneducationtrust.org/,Yes,288,02-Oct-25,407662,425632,53.72705,-1.88535,North Halifax,Northern Education Trust,Northern Education Trust,,1.00052E+11
2066,New Road Primary School,Primary,Community school,Headteacher,Mrs Sharon Harwood,Sowerby New Road,,,Sowerby Bridge,HX6 1DY,Sowerby Bridge,001422 831351,http://www.newroadprimarycalderdale.org.uk,No,185,02-Oct-25,405454,423390,53.70693,-1.91886,Sowerby Bridge,,,,010006749070
3010,Norland CE School,Primary,Voluntary controlled school,Headteacher,Miss Alison Embleton,Berry Moor Road,Norland,,Sowerby Bridge,HX6 3RN,Greetland and Stainland,001422 831602,http://www.norland.calderdale.sch.uk,No,62,02-Oct-25,406601,422632,53.7001,-1.90149,Sowerby Bridge,,,,010006746585
2015,Northowram Primary School,Primary,Community school,Headteacher,Mrs Jane Scardifield,Baxter Lane,Northowram,,Halifax,HX3 7EF,Northowram and Shelf,001422 202704,http://northowram.calderdale.sch.uk/,Yes,450,02-Oct-25,411133,427202,53.7411,-1.83269,East Calderdale,,,,1.00052E+11
2083,Old Earth Primary School,Primary,Academy converter,Headteacher,Mr Daniel Burns,Lower Edge Road,,,Elland,HX5 9PL,Elland,001422 375316,http://www.oldearth.co.uk/,Yes,457,02-Oct-25,412026,421347,53.68845,-1.81938,Elland,Old Earth School,,,010035032990
2075,Old Town Primary School,Primary,Academy converter,Headteacher,Mrs Joanne Buckley,Billy Lane,Wadsworth,,Hebden Bridge,HX7 8RY,Calder,001422 842859,http://www.oldtown.calderdale.sch.uk,No,83,02-Oct-25,400326,428200,53.75019,-1.99653,Calder Valley,Pennine Alliance Learning Trust,,,010010161606
4004,Park Lane Academy,Secondary,Academy sponsor led,,Mr Stuart Hillary,Park Lane,Exley,,Halifax,HX3 9LG,Town,001422 362215,http://parklane.org.uk/,No,486,02-Oct-25,410099,422407,53.69802,-1.84851,Secondary,South Pennine Academies,South Pennine Academies,,1.00052E+11
2017,Parkinson Lane Community Primary School,Primary,Community school,Headteacher,Mr Gulfaraz Ahmed,Parkinson Lane,,Parkinson Lane Community Primary School,Halifax,HX1 3XL,Park,001422 362227,www.parkinsonlane.com,Yes,528,02-Oct-25,408069,424595,53.71772,-1.87921,Todmorden,,,,010010180286
5402,Rastrick High School,Secondary,Academy converter,Headteacher,Mr Mathew Williams,Field Top Road,Rastrick,,Brighouse,HD6 3XB,Rastrick,001484 710235,http://www.rastrick.polarismat.org.uk,No,1781,02-Oct-25,413852,422236,53.6964,-1.79169,Secondary,Polaris Multi Academy Trust,Polaris Multi Academy Trust,,1.00052E+11
7009,Ravenscliffe High School,Special secondary,Community special school,Headteacher,Mrs Joanne Hague,Skircoat Green,,,Halifax,HX3 0RZ,Skircoat,001422 358621,http://www.ravenscliffe.calderdale.sch.uk,No,259,02-Oct-25,408991,422848,53.70201,-1.86529,Special,,,,010006743060
2061,Ripponden Junior and Infant School,Primary,Community school,Headteacher,Mrs Lorraine Bamforth,Halifax Road,Ripponden,,Sowerby Bridge,HX6 4AH,Ryburn,001422 823362,www.ripponden.calderdale.sch.uk,No,173,02-Oct-25,404209,420040,53.67683,-1.93776,Sowerby Bridge,,,,010006747512
2082,Riverside Junior School,Primary,Community school,Headteacher,Ms Lucy Caswell,Holme Street,,,Hebden Bridge,HX7 8EE,Calder,001422 842154,www.riversidejunior.co.uk/,No,117,02-Oct-25,399134,427133,53.7406,-2.01461,Calder Valley,,,Hebden Bridge Schools Federation,1.00052E+11
5408,Ryburn Valley High School,Secondary,Academy converter,Headteacher,Mrs Donna Watkins,St Peter's Avenue,Sowerby,,Sowerby Bridge,HX6 1DF,Ryburn,001422 832070,http://www.rvhs.co.uk/,No,1593,02-Oct-25,404605,422971,53.70317,-1.93172,Secondary,Together Learning Trust,Together Learning Trust,,1.00052E+11
3328,Sacred Heart Catholic Voluntary Academy,Primary,Academy converter,Headteacher,Mrs Alexandra Hudson-Crook,St Peter's Avenue,,,Sowerby Bridge,HX6 1BL,Ryburn,001422 831360,http://www.sacredheart.calderdale.sch.uk/,No,151,02-Oct-25,405206,423217,53.70537,-1.92262,Sowerby Bridge,Blessed Peter Snow Catholic Academy Trust,,,1.00052E+11
2021,Salterhebble Junior and Infant School,Primary,Community school,Headteacher,Mrs Caroline Bullard,Stafford Square,,,Halifax,HX3 0AU,Skircoat,001422 252004,www.salterhebble.calderdale.sch.uk/,No,204,02-Oct-25,409587,423426,53.70719,-1.85625,East Calderdale,,,,1.00052E+11
5200,Salterlee Primary School,Primary,Academy converter,Headteacher,Mrs Lucy Harper,Kell Lane,Shibden,,Halifax,HX3 7AY,Northowram and Shelf,001422 365464,https://salterlee.polarismat.org.uk/,No,74,02-Oct-25,410633,426873,53.73815,-1.84028,East Calderdale,Polaris Multi Academy Trust,Polaris Multi Academy Trust,,010006741810
2009,Savile Park Primary School,Primary,Community school,Headteacher,Mrs Jane Boylan,Moorfield Street,,,Halifax,HX1 3ER,Skircoat,001422 352844,http://savileparkprimary.org.uk,No,350,02-Oct-25,408219,424168,53.71389,-1.87696,North Halifax,,,,1.00052E+11
2056,Scout Road Academy,Primary,Academy converter,Headteacher,Mrs Gina Blagbrough,Scout Road,Mytholmyroyd,,Hebden Bridge,HX7 5JR,Luddendenfoot,001422 883327,www.scoutroadacademy.org.uk/,No,106,02-Oct-25,401726,425636,53.72713,-1.97532,Calder Valley,Together Learning Trust,Together Learning Trust,,1.00052E+11
2073,Shade Primary School,Primary,Community school,Headteacher,Miss Mollie McCracken,Knowlwood Road,Shade,,Todmorden,OL14 7PD,Todmorden,001706 812913,http://www.shade.calderdale.sch.uk,Yes,170,02-Oct-25,393136,423252,53.70567,-2.10546,Todmorden,,,,010006750530
2060,Shelf Junior and Infant School,Primary,Community school,Headteacher,Mrs Jill Elam,Shelf Hall Lane,Shelf,,Halifax,HX3 7LT,Northowram and Shelf,001274 676782,http://www.shelfjandi.com/,No,221,02-Oct-25,411974,428253,53.75053,-1.81991,East Calderdale,,,,010006747993
2094,Siddal Primary School,Primary,Academy converter,Headteacher,Mrs Lucy Aaron,Backhold Lane,Siddal,,Halifax,HX3 9DL,Town,001422 354976,https://siddal.polarismat.org.uk/,Yes,171,02-Oct-25,410169,423042,53.70372,-1.84744,Elland,Polaris Multi Academy Trust,Polaris Multi Academy Trust,,010010176436
3315,St Andrew's Church of England (VA) Infant School,Primary,Voluntary aided school,Headteacher,Mrs Catherine Palmer,Lightcliffe Road,,,Brighouse,HD6 2HH,Brighouse,001484 714964,http://www.st-andrews-inf.calderdale.sch.uk,No,154,02-Oct-25,414118,423641,53.70902,-1.7876,East Calderdale,,,,1.00052E+11
3314,St Andrew's CofE (VA) Junior School,Primary,Voluntary aided school,Headteacher,Mrs Catherine Palmer,Waterloo Road,,,Brighouse,HD6 2AN,Brighouse,001484 712895,http://www.standrews.calderdale.sch.uk,No,226,02-Oct-25,414210,423213,53.70517,-1.78622,East Calderdale,,,,1.00052E+11
2037,St Augustine's CofE School,Primary,Academy sponsor led,,Mrs Ruth E Lee,Hanson Lane,,,Halifax,HX1 5PG,Park,001422 360615,https://www.st-augustines.uk/,No,149,02-Oct-25,408195,425524,53.72607,-1.87727,North Halifax,Learning Accord Multi Academy Trust,Learning Accord Multi Academy Trust,,010010176185
5203,"St John's (CofE) Primary Academy, Clifton",Primary,Academy converter,Principal,Rebecca Townsend,Towngate,Clifton,,Brighouse,HD6 4HP,Brighouse,001484 713036,http://www.stjohnsacademyclifton.co.uk/,No,199,02-Oct-25,416163,422798,53.70139,-1.75666,East Calderdale,"St John'S (Ce) Primary Academy Trust, Clifton",,,1.00052E+11
3322,St John's Primary School In Rishworth,Primary,Academy converter,Headteacher,Headteacher Joanna Wasyliw,Godly Lane,Rishworth,,Sowerby Bridge,HX6 4QR,Ryburn,001422 822596,http://www.stjohnsrishworth.org.uk,No,149,02-Oct-25,403214,418091,53.65931,-1.95284,Sowerby Bridge,"St John'S Church Of England Primary School, Rishworth",,,010010152598
3305,St Joseph's Catholic Primary Academy,Primary,Academy converter,Headteacher,Mrs Mary Togher,Portland Road,,,Halifax,HX3 6LA,Northowram and Shelf,001422 360646,http://www.st-josephs.calderdale.sch.uk/,No,135,02-Oct-25,409604,425821,53.72872,-1.85591,North Halifax,Blessed Peter Snow Catholic Academy Trust,,,1.00052E+11
3329,St Joseph's Catholic Primary Academy,Primary,Academy converter,Headteacher,Mrs Clare Moulding,Finkil Street,Hove Edge,,Brighouse,HD6 2NT,Brighouse,001484 713037,http://www.stjosephsbrighouse.org.uk,Yes,193,02-Oct-25,413622,424274,53.71472,-1.79508,East Calderdale,Blessed Peter Snow Catholic Academy Trust,,,1.00052E+11
2029,St Joseph's Roman Catholic Voluntary Academy,Primary,Academy sponsor led,,Mrs Carole Carlile,Wellington Road,,,Todmorden,OL14 5HP,Todmorden,001706 812948,,Yes,91,02-Oct-25,393662,424550,53.71734,-2.09752,Todmorden,Romero Catholic Academy Trust,Romero Catholic Academy Trust,,010010161142
3306,"St Malachy's Catholic Primary School, A Voluntary Academy",Primary,Academy converter,Headteacher,Mr Oliver Harper,Furness Place,Illingworth,,Halifax,HX2 8JY,Ovenden,001422 244628,http://www.stmalachysprimary.org.uk,Yes,168,02-Oct-25,407097,427389,53.74285,-1.89388,North Halifax,Blessed Peter Snow Catholic Academy Trust,,,010006745060
3308,St Mary's Catholic Primary Academy,Primary,Academy converter,Headteacher,Mrs Jenna Walker,Swires Road,,,Halifax,HX1 2ER,Skircoat,001422 362365,http://www.stmaryshalifax.co.uk/,No,278,02-Oct-25,408642,424698,53.71864,-1.87053,Elland,Blessed Peter Snow Catholic Academy Trust,,,010006731096
3011,St Mary's CofE (VC) J and I School,Primary,Voluntary controlled school,Headteacher,Ms Yvette Sullivan,Mill Bank,,,Sowerby Bridge,HX6 3EJ,Ryburn,001422 823353,http://www.st-marys.calderdale.sch.uk/,No,62,02-Oct-25,403478,421340,53.68852,-1.94881,Sowerby Bridge,,,,010010182664
5202,St Michael and All Angels CofE Primary & Pre School,Primary,Foundation school,Headteacher,Mrs Claire Berry,Meadow Close,Greenacres Estate,Shelf,Halifax,HX3 7QU,Northowram and Shelf,001274 676246,http://www.st-michaelangels.calderdale.sch.uk/,No,169,02-Oct-25,412779,428713,53.75464,-1.80767,East Calderdale,,,,010006732687
3327,St Patrick's Catholic Primary Academy,Primary,Academy converter,Headteacher,Mrs Catriona Boyes,Hullen Edge Road,,,Elland,HX5 0QY,Elland,001422 373104,www.stpatselland.org.uk/,Yes,108,02-Oct-25,409740,420775,53.68336,-1.85401,Elland,Blessed Peter Snow Catholic Academy Trust,,,1.00052E+11
2057,Stubbings Infant School,Primary,Community school,Executive Headteacher,Ms Lucy Caswell,School Street,,,Hebden Bridge,HX7 8BP,Calder,001422 842728,www.stubbingsinfantschool.co.uk/,Yes,67,02-Oct-25,399382,427322,53.74229,-2.01085,Calder Valley,,,Hebden Bridge Schools Federation,1.00052E+11
4008,The Brooksbank School,Secondary,Academy converter,,Mr Darren Atkinson,Victoria Road,,,Elland,HX5 0QG,Elland,001422 374791,https://www.thebrooksbankschool.co.uk/,No,1463,02-Oct-25,410071,420542,53.68126,-1.84901,Secondary,Together Learning Trust,Together Learning Trust,,1.00052E+11
4022,The Calder Learning Trust,All-through,Academy converter,Headteacher,Mr Anthony Guise,Brier Hey Lane,Mytholmroyd,,Hebden Bridge,HX7 5QN,Luddendenfoot,001422 883213,https://www.calderlearningtrust.com,No,1257,02-Oct-25,401726,426247,53.73263,-1.97532,Calder Valley,Pennine Alliance Learning Trust,,,1.00052E+11
4022,The Calder Learning Trust,All-through,Academy converter,Headteacher,Mr Anthony Guise,Brier Hey Lane,Mytholmroyd,,Hebden Bridge,HX7 5QN,Luddendenfoot,001422 883213,https://www.calderlearningtrust.com,No,1257,02-Oct-25,401726,426247,53.73263,-1.97532,Secondary,Pennine Alliance Learning Trust,,,1.00052E+11
5401,The Crossley Heath School,Secondary,Academy converter,Headteacher,Mr Dean Jones,Savile Park,,,Halifax,HX3 0HG,Skircoat,001422 360272,http://www.crossleyheath.org.uk,No,1182,02-Oct-25,408140,423921,53.71166,-1.87815,Secondary,The Crossley Heath School Academy Trust Limited,,,1.00052E+11
2049,The Greetland Academy,Primary,Academy converter,Executive Principal,Mrs Helen Crowther,School Street,Greetland,,Halifax,HX4 8JB,Greetland and Stainland,001422 372893,www.greetlandacademy.org.uk,No,383,02-Oct-25,408597,421403,53.68902,-1.8713,Elland,Great Heights Academy Trust,Great Heights Academy Trust,,1.00052E+11
4035,The Halifax Academy,All-through,Academy converter,Headteacher,Mr Matt Perry,Gibbet Street,,,Halifax,HX2 0BA,Warley,001422 301080,http://www.thehalifaxacademy.org,No,1452,02-Oct-25,407205,425229,53.72422,-1.89359,North Halifax,Impact Education Multi Academy Trust,Impact Education Multi Academy Trust,,010033882412
4035,The Halifax Academy,All-through,Academy converter,Headteacher,Mr Matt Perry,Gibbet Street,,,Halifax,HX2 0BA,Warley,001422 301080,http://www.thehalifaxacademy.org,No,1452,02-Oct-25,407205,425229,53.72422,-1.89359,Secondary,Impact Education Multi Academy Trust,Impact Education Multi Academy Trust,,010033882412
5400,The North Halifax Grammar School,Secondary,Academy converter,Principal,Mr Desmond Deehan,Moorbottom Road,Illingworth,,Halifax,HX2 9SU,Illingworth and Mixenden,001422 244625,http://www.nhgs.co.uk,No,1205,02-Oct-25,407825,428815,53.75566,-1.8828,Secondary,The North Halifax Grammar School Academy Trust,,,1.00052E+11
1101,The Whitley AP Academy,Alternative provision,Academy alternative provision converter,Headteacher,Mr Phillip Hannah,Whitley Phoenix Centre,,Moorbottom Road,Halifax,HX2 9SR,Illingworth and Mixenden,001422 244181,twapa.co.uk,No,51,02-Oct-25,407940,428950,53.75685,-1.88105,Secondary,Impact Education Multi Academy Trust,Impact Education Multi Academy Trust,,010095601956
3326,"Todmorden CofE J, I & N School",Primary,Voluntary aided school,Headteacher,Mrs Alice Leadbitter & Abi Welsh,Burnley Road,,,Todmorden,OL14 7BS,Todmorden,001706 812019,http://www.todmordenprimary.org.uk,Yes,235,02-Oct-25,393502,424499,53.71688,-2.09994,Todmorden,,,,010010152791
4026,"Todmorden High School, A SHARE Academy",Secondary,Academy converter,Acting Headteacher,Mrs Emily Rawlinson,Ewood Lane,,,Todmorden,OL14 7DG,Todmorden,001706 813558,http://www.todhigh.co.uk/,No,895,02-Oct-25,392824,424888,53.72087,-2.11027,Secondary,Share Multi Academy Trust,Share Multi Academy Trust,,1.00052E+11
